observation_date,DEXJPUS
2025-12-01,155.28
2025-12-02,155.92
2025-12-03,155.17
2025-12-04,154.90
2025-12-05,155.30
2025-12-08,155.89
2025-12-09,156.85
2025-12-10,156.33
2025-12-11,155.15
2025-12-12,155.81
2025-12-15,155.29
2025-12-16,154.80
2025-12-17,155.60
2025-12-18,155.53
2025-12-19,157.43
2025-12-22,156.93
2025-12-23,156.33
2025-12-24,155.83
2025-12-25,
2025-12-26,156.63
2025-12-29,156.10
2025-12-30,156.26
2025-12-31,156.80
2026-01-01,
2026-01-02,156.72
2026-01-05,156.32
2026-01-06,156.70
2026-01-07,156.73
2026-01-08,156.90
2026-01-09,158.07
2026-01-12,158.15
2026-01-13,159.06
2026-01-14,158.13
2026-01-15,158.50
2026-01-16,158.02
2026-01-19,
2026-01-20,157.89
2026-01-21,158.16
2026-01-22,158.36
2026-01-23,157.57
2026-01-26,153.88
2026-01-27,153.03
2026-01-28,153.60
2026-01-29,152.88
2026-01-30,154.34
2026-02-02,155.50
2026-02-03,155.70
2026-02-04,156.61
2026-02-05,156.91
2026-02-06,157.10
2026-02-09,156.08
2026-02-10,154.28
2026-02-11,152.93
2026-02-12,152.64
2026-02-13,152.77
2026-02-16,
2026-02-17,153.57
2026-02-18,154.45
2026-02-19,154.96
2026-02-20,154.99
2026-02-23,154.30
2026-02-24,155.66
2026-02-25,156.30
2026-02-26,156.13
2026-02-27,156.05
2026-03-02,157.48
2026-03-03,157.69
2026-03-04,156.93
2026-03-05,157.58
2026-03-06,157.64
2026-03-09,158.08
2026-03-10,157.60
2026-03-11,158.83
2026-03-12,159.21
2026-03-13,159.54
2026-03-16,159.30
2026-03-17,159.03
2026-03-18,159.48
2026-03-19,158.19
2026-03-20,159.26
2026-03-23,158.70
2026-03-24,158.90
2026-03-25,159.20
2026-03-26,159.65
2026-03-27,160.16
2026-03-30,159.49
2026-03-31,159.08
2026-04-01,158.63
2026-04-02,159.34
2026-04-03,159.64
2026-04-06,159.71
2026-04-07,159.90
2026-04-08,158.39
2026-04-09,158.87
2026-04-10,159.22
2026-04-13,159.74
2026-04-14,158.91
2026-04-15,159.02
2026-04-16,159.07
2026-04-17,158.10
2026-04-20,158.66
2026-04-21,159.39
2026-04-22,159.49
2026-04-23,159.44
2026-04-24,159.35
2026-04-27,159.29
2026-04-28,159.53
2026-04-29,160.23
2026-04-30,156.66
2026-05-01,156.76
2026-05-04,157.21
2026-05-05,157.68
2026-05-06,156.44
2026-05-07,156.48
2026-05-08,156.64
2026-05-11,157.04
2026-05-12,157.71
2026-05-13,157.84
2026-05-14,158.08
2026-05-15,158.69
2026-05-18,158.83
2026-05-19,159.11
2026-05-20,158.84
2026-05-21,159.16
2026-05-22,159.20
2026-05-25,
2026-05-26,159.36
2026-05-27,159.47
2026-05-28,159.29
2026-05-29,159.23
2026-06-01,159.66
2026-06-02,159.86
2026-06-03,159.97
2026-06-04,159.97
2026-06-05,160.26
2026-06-08,160.12
2026-06-09,160.23
2026-06-10,160.47
2026-06-11,160.51
2026-06-12,160.24
2026-06-15,160.20
2026-06-16,160.39
2026-06-17,160.22
2026-06-18,161.37
2026-06-19,
2026-06-22,161.51
2026-06-23,161.55
2026-06-24,161.76
2026-06-25,161.67
2026-06-26,161.67
2026-06-29,161.93
2026-06-30,162.61
2026-07-01,162.41
2026-07-02,160.90
2026-07-03,
2026-07-06,162.28
2026-07-07,161.91
2026-07-08,162.67
2026-07-09,162.29
2026-07-10,161.31
2026-07-13,162.32
2026-07-14,162.14
2026-07-15,162.13
2026-07-16,162.42
2026-07-17,162.43
2026-07-20,162.59
2026-07-21,163.01
2026-07-22,163.08
2026-07-23,163.80
2026-07-24,163.71
2026-07-27,163.71
2026-07-28,163.65
2026-07-29,163.86
2026-07-30,159.47
2026-07-31,159.16
2026-08-03,156.96
2026-08-04,157.44
2026-08-05,157.63
2026-08-06,158.45
2026-08-07,157.54
2026-08-10,158.90
2026-08-11,159.25
2026-08-12,159.23
2026-08-13,159.35
2026-08-14,159.21
2026-08-17,159.34
2026-08-18,159.58
2026-08-19,158.45
2026-08-20,158.85
2026-08-21,158.91
2026-08-24,159.17
2026-08-25,159.21
2026-08-26,159.36
2026-08-27,159.26
2026-08-28,159.97
2026-08-31,159.74
2026-09-01,160.03
2026-09-02,158.79
2026-09-03,155.39
2026-09-04,156.11
2026-09-07,
2026-09-08,154.24
2026-09-09,153.50
2026-09-10,154.06
2026-09-11,153.71
